页面,Chinese,English
,发菩提心，继续开展中级正念禅修，建立、培养、训练中级正念及相关心理，同时培养、训练、熟悉初级正念及相关心理。,"Generate bodhicitta, continue to carry out intermediate mindfulness meditation, establish, cultivate and train intermediate mindfulness and related mental qualities, and at the same time cultivate, train and become familiar with primary mindfulness and related mental qualities."
主页-修学要求-5,依八步三禅修习《瑜伽师地论·菩萨地·戒品》，通过不断的观察修、安住修，对菩萨三聚净戒生起真切信心，乐于实践。,"According to the Eight-Step Threefold Meditation, practice ""Yogi's Ground, Bodhisattva's Ground, Precepts"". Through constant observation and meditation, you can develop true confidence in the Bodhisattva's three pure precepts and be willing to practice them."
,继续开展中级世俗菩提心禅修，以修习《菩提心修习仪轨》《慈经》和《瑜伽菩萨戒》（每周或半月读诵一次）为定课，真切发起菩提心，受持菩萨三聚净戒，熟悉菩萨的行为规范，努力成为合格的菩萨行者。,"Continue to carry out intermediate-level conventional bodhicitta meditation, taking the practice of ""Bodhicitta Practice Ritual"", ""Metta Sutra"" and ""Yoga Bodhisattva Precepts"" as scheduled courses (read and recite once a week or half a month), truly arouse bodhicitta, accept and uphold the Bodhisattva's three pure precepts, become familiar with the Bodhisattva's behavioral norms, and strive to become a qualified Bodhisattva practitioner."
,在与人相处及服务大众模式中，建立、培养、训练中级利他心理。同时以世俗菩提心为基础，培养、训练、熟悉初级利他心理。,"Establish, cultivate and train intermediate altruistic mental qualities in the mode of getting along with others and serving the public. At the same time, based on conventional bodhicitta, cultivate, train, and become familiar with primary altruistic mental qualities."
,发菩提心，继续开展中级正念禅修，培养、训练、熟悉中级正念及相关心理，同时培养、训练、熟悉初级正念及相关心理。<br/><br/><b>备注：第四进度学完，再次学习同修第三进度和第四进度课程之后，升入同德班。</b>,"Generate bodhicitta, continue to carry out intermediate mindfulness meditation, cultivate, train, and become familiar with intermediate mindfulness and related mental qualities, and at the same time cultivate, train, and become familiar with primary mindfulness and related mental qualities. <br/><br/><b> Note: After completing the fourth step, you will be promoted to Tongde class after taking the third step and fourth step courses again. </b>"
主页-修学要求-6,依八步三禅修学法义，通过不断的观察修、安住修，树立唯识正见。,"Learn the meaning of the Dharma according to the Eight-Step Threefold Meditation, and establish the right view of consciousness only through constant observation and meditation."
,开展高级正念禅修。立足于三十七道品，依唯识见做正念禅修的定课，了知一切影像都是心的显现，消除我法二执及烦恼，通达空性。放下觉知，体认无念。认识、建立高级正念及相关心理，同时训练、熟悉、提升初级和中级正念相关心理。,"Develop advanced mindfulness meditation. Based on the Thirty-Seven Factors of Awakening, do the prescribed course of mindfulness meditation based on the Consciousness-Only view, understand that all images are manifestations of the mind, eliminate the attachment of self, Dharma and worries, and understand emptiness. Let go of awareness and realize the thoughtlessness. Understand and establish advanced mindfulness and related mental qualities, while training, becoming familiar with, and improving primary and intermediate mindfulness-related mental qualities."
,开展高级胜义菩提心禅修。在中级世俗菩提心禅修的基础上，依唯识见契入空性，发起胜义菩提心，读诵《瑜伽菩萨戒》，践行布施等菩萨行，了知一切如梦如幻，建立无所得心，发起高级利他心。,"Develop advanced bodhicitta meditation. On the basis of the intermediate-level conventional bodhicitta meditation, enter into emptiness based on knowledge and view alone, initiate ultimate bodhicitta, read and recite the ""Yoga Bodhisattva Precepts"", practice bodhisattva behaviors such as giving, understand that everything is like a dream or illusion, establish the mind of nothing, and initiate high-level altruism."
,认识、建立高级利他心理，同时以胜义菩提心为基础，训练、熟悉、提升初级和中级利他心理。<br/><br/><b>备注：学完第一遍后再学第二遍，两遍完成后再进入下一阶段修学。</b>,"Understand and establish high-level altruistic mental qualities, and at the same time, based on ultimate bodhicitta, train, familiarize and improve primary and intermediate altruistic mental qualities. <br/><br/><b> Note: After learning the first time, learn the second time. After completing the two times, you can enter the next stage of study. </b>"
主页-修学要求-7,依八步三禅修学法义，通过不断的观察修、安住修，树立般若中观正见。,"Learn the meaning of the Dharma according to the Eight-Step Threefold Meditation, and establish the correct view of Prajna Madhyamaka through constant observation and meditation."
,开展高级正念禅修。立足于三十七道品，依中观见做正念禅修的定课。了知一切法无自性空，如梦如幻；体悟一切法的本质即是空性，消除二元对立和烦恼。放下觉知，熟悉无念。认识、建立高级正念及相关心理，同时训练、熟悉、提升初级和中级正念及相关心理。,"Develop advanced mindfulness meditation. Based on the Thirty-Seven Factors of Awakening, we will conduct a regular course of mindfulness meditation based on the Madhyamaka view. Understand that all dharmas have no self-nature and are empty, like dreams and illusions; realize that the essence of all dharmas is emptiness, and eliminate dualistic opposition and worries. Let go of awareness and become familiar with no thoughts. Understand and establish advanced mindfulness and related mental qualities, while training, familiarizing and improving primary and intermediate mindfulness and related mental qualities."
,开展高级胜义菩提心禅修。在中级世俗菩提心禅修的基础上，依中观见契入空性，发起胜义菩提心，读诵《瑜伽菩萨戒》，践行布施等菩萨行，了知一切如梦如幻，建立无所得心。,"Develop advanced bodhicitta meditation. On the basis of intermediate-level conventional bodhicitta meditation, you can enter into emptiness by relying on the central vision, initiate ultimate bodhicitta, read and recite the ""Yoga Bodhisattva Precepts"", practice bodhisattva behaviors such as giving, and understand that everything is like a dream or illusion, and establish the heart of nothing."
,认识、建立高级利他心理。同时以胜义菩提心为基础，训练、熟悉、提升初级和中级利他心理。,"Understand and establish advanced altruistic mental qualities. At the same time, based on the ultimate bodhicitta, we train, familiarize and improve primary and intermediate altruistic mental qualities."
,依普贤行愿的见地，撤除心的设定，临摹佛菩萨品质，体会虚空般的心，建立平等、大悲的利他修行。<br/><br/><b>备注：学完第一遍后再学第二遍，两遍完成后再进入下一阶段修学。</b>,"Based on the view of Samantabhadra's vows, we remove the mental settings, copy the qualities of Buddhas and Bodhisattvas, experience the void-like mind, and establish the altruistic practice of equality and great compassion. <br/><br/><b> Note: After learning the first time, learn the second time. After completing the two times, you can enter the next stage of study. </b>"
主页-修学要求-8,依八步三禅修学法义，通过不断的观察修、安住修，树立禅宗正见。,"Learn the meaning of the Dharma according to the Eight-Step Threefold Meditation, and establish the correct view of Zen through constant observation and meditation."
,开展高级正念禅修。立足于三十七道品，依禅宗见地做正念禅修的定课，了知念头的本质，体悟本心，消除二元对立和烦恼。放下觉知，熟悉无念。建立、培养、训练高级正念及相关心理，同时训练、熟悉、提升、圆满初级和中级正念及相关心理。,"Develop advanced mindfulness meditation. Based on the Thirty-Seven Factors of Awakening, we conduct mindfulness meditation courses according to Zen view, understand the nature of thoughts, realize the original mind, and eliminate dualistic opposition and worries. Let go of awareness and become familiar with no thoughts. Establish, cultivate, and train advanced mindfulness and related mental qualities, while training, becoming familiar with, improving, and perfecting primary and intermediate mindfulness and related mental qualities."
,开展高级胜义菩提心禅修。在中级世俗菩提心禅修基础上，依禅宗见地契入本心，发起胜义菩提心，读诵《瑜伽菩萨戒》，践行布施等菩萨行，了知一切如梦如幻，建立无所得心。,"Develop advanced bodhicitta meditation. On the basis of intermediate conventional bodhicitta meditation, according to the Zen view, enter the original mind, initiate the ultimate bodhicitta, read and recite the ""Yoga Bodhisattva Precepts"", practice charity and other bodhisattva behaviors, understand that everything is like a dream or illusion, and establish the heart of nothing."
,建立、培养、训练高级利他心理。同时以胜义菩提心为基础，训练、熟悉、提升、圆满初级和中级利他心理。<br/><br/><b>备注：学完第一遍后再学第二遍。</b>,"Establish, cultivate and train advanced altruistic mental qualities. At the same time, based on the ultimate bodhicitta, we train, familiarize, improve, and Complete primary and intermediate altruistic mental qualities. <br/><br/><b> Note: After learning the first time, learn the second time. </b>"
课程详情页-普通文本,说明,Illustrate
,下载元日记APP,Download Yuan Diary App
,下载菩提导航进行检测,Download Bodhi Navigation for testing
,开始自检,Start self-test
,观看视频,Watch video
,阅读文章,Read article
,收听音频,Listen to audio
,按钮,Button
课程详情页-菩提导航-学士,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,认识并建立,Recognize and establish
,信、惭愧、向善心、忏悔心、利他心；真诚、认真、老实。,"Faith, shame, kindness, repentance, altruism; sincerity, seriousness, honesty."
,基础利他 —— 慈心修习,Basic altruism - loving kindness practice
,修习慈心,Practice loving kindness
,认识并建立,Recognize and establish
,慈心,Compassion
,修习慈心的相关心理,mental qualities related to practicing loving-kindness
,认识并建立,Recognize and establish
,慈心,Compassion
,修习慈心的相关心理,mental qualities related to practicing loving-kindness
,认识并建立,Recognize and establish
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施。,Give alms
,初级正念修习——选择所缘，培养专注和觉知力,"Elementary mindfulness practice - choose objects, develop concentration and awareness"
,修习正念,Practice mindfulness
,认识并建立,Recognize and establish
,初级正念,Elementary Mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,认识并建立,Recognize and establish
,正见、作意、定（止）、慧（观）。,"Right view, concentration, concentration (concentration), wisdom (contemplation)."
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,独处,Alone
,时，要消除懈怠、放逸。,"When doing so, we should eliminate laziness and lethargy."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除忿、恨、恼、害、嫉。,"At this time, we must eliminate anger, hatred, annoyance, harm, and jealousy."
课程详情页-菩提导航-修士1,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,认识并建立,Recognize and establish
,出离心、世俗菩提心、持戒、精进。,"Renunciation, worldly bodhicitta, precepts, and diligence"
,建立、培养、训练,"Build, develop, train"
,信、惭愧、忏悔；真诚、认真、,"Faith, shame, repentance; sincerity, seriousness,"
,老实。,Honest
,初级利他 —— 慈心修习,Elementary Altruism - Loving Kindness Practice
,修习慈心,Practice loving kindness
,建立、培养、训练,"Build, develop, train"
,慈心,Compassion
,修习慈心相关心理,Practice Loving-Kindness-Related Mental Qualities
,认识并建立,Recognize and establish
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,建立、培养、训练,"Build, develop, train"
,以慈心为基础，修习,"Based on loving-kindness, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,初级正念修习——选择所缘，培养专注和觉知力,"Elementary mindfulness practice - choose objects, develop concentration and awareness"
,修习正念,Practice mindfulness
,建立、培养、训练,"Build, develop, train"
,初级正念,Elementary Mindfulness
,修习正念相关关理,Principles related to practicing mindfulness
,建立、培养、训练,"Build, develop, train"
,正见、作意、定（止）、慧（观）。,"Right view, concentration, concentration (concentration), wisdom (contemplation)."
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知。,"At this time, we must eliminate carelessness, laziness, distraction, lethargy, loss of thoughts, and incorrect knowledge."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉；覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, and jealousy; subversion, flattery, deceit, and thrift."
课程详情页-菩提导航-修士2,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,建立、培养、训练,"Build, develop, train"
,信、惭愧、出离心、世俗菩提心、,"Faith, shame, renunciation, worldly bodhicitta,"
,持戒、忏悔；真诚、认真、老实；,"Keep the precepts and repent; be sincere, serious and honest;"
,精进。,Be diligent
,中级正念修习 —— 依四念处，拓展觉知，体会心的清明,"Intermediate mindfulness practice - relying on the four foundations of mindfulness, expanding awareness and experiencing the clarity of mind"
,修习正念,Practice mindfulness
,认识并建立,Recognize and establish
,中级正念,Intermediate Mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,认识并建立,Recognize and establish
,胜解；无贪、无嗔、无痴、轻安、行舍、不放逸,"The ultimate solution: no greed, no anger, no delusion, tranquility, equanimity, and no hesitation"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以中级正念，修习,Practice with intermediate mindfulness
,初级正念,Elementary Mindfulness
,相关心理,Related Mental Qualities
,正见、作意、定（止）、慧（观）,"Right view, concentration, concentration (concentration), wisdom (contemplation)"
,初级利他——慈心修习,Elementary Altruism - Practice of Loving Kindness
,修习慈心,Practice loving kindness
,培养、训练、熟悉,"Cultivate, train, familiarize"
,慈心,Compassion
,修习慈心相关心理,Practice Loving-Kindness-Related Mental Qualities
,建立、培养、训练,"Build, develop, train"
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以慈心为基础，修习,"Based on loving-kindness, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知。,"At this time, we must eliminate carelessness, laziness, distraction, lethargy, loss of thoughts, and incorrect knowledge."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉；覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, and jealousy; subversion, flattery, deceit, and thrift."
课程详情页-菩提导航-胜士1,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,培养、训练、熟悉,"Cultivate, train, familiarize"
,信、惭愧、世俗菩提心、持戒、,"Faith, shame, worldly bodhicitta, observing precepts,"
,忏悔；真诚、认真、老实；精进,"Repent; sincere, serious, honest; diligent"
,中级利他 —— 世俗菩提心修习,Intermediate altruism - conventional bodhicitta practice
,修习世俗菩提心,Practicing Worldly Bodhicitta
,认识并建立,Recognize and establish
,世俗菩提心,Worldly bodhicitta
,修习世俗菩提心相关心理,mental qualities related to practicing conventional bodhicitta
,认识并建立,Recognize and establish
,无我利他心、平等心、大悲心,"Selflessness, altruism, equality, and great compassion"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以世俗菩提心为基础，修习,"Based on worldly bodhicitta, practice"
,初级利他,Primary altruism
,心理,mental qualities
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以世俗菩提心为基础，修习,"Based on worldly bodhicitta, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,中级正念修习 —— 依四念处，拓展觉知，体会心的清明,"Intermediate mindfulness practice - relying on the four foundations of mindfulness, expanding awareness and experiencing the clarity of mind"
,修习正念,Practice mindfulness
,建立、培养、训练,"Build, develop, train"
,中级正念,Intermediate Mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,建立、培养、训练,"Build, develop, train"
,胜解；无贪、无嗔、无痴、轻安、,"The ultimate solution: no greed, no anger, no delusion, peace of mind,"
,行舍、不放逸,Walk without letting go
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以中级正念，修习,Practice with intermediate mindfulness
,初级正念,Elementary Mindfulness
,相关心理,Related Mental Qualities
,正见、作意、定（止）、慧（观）,"Right view, concentration, concentration (concentration), wisdom (contemplation)"
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知；贪、嗔、痴。,"At this time, we must eliminate laziness, laziness, distraction, lethargy, loss of thoughts, incorrect knowledge, greed, anger, and ignorance."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉、覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, jealousy, subversion, flattery, deceit, and thrift."
课程详情页-菩提导航-胜士2,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,培养、训练、熟悉,"Cultivate, train, familiarize"
,信、惭愧、世俗菩提心、持戒、,"Faith, shame, worldly bodhicitta, observing precepts,"
,忏悔；真诚、认真、老实；精进,"Repent; sincere, serious, honest; diligent"
,中级利他 —— 世俗菩提心修习,Intermediate altruism - conventional bodhicitta practice
,修习世俗菩提心,Practicing Worldly Bodhicitta
,建立、培养、训练,"Build, develop, train"
,世俗菩提心,Worldly bodhicitta
,修习世俗菩提心相关心理,mental qualities related to practicing conventional bodhicitta
,建立、培养、训练,"Build, develop, train"
,无我利他心、平等心、大悲心,"Selflessness, altruism, equality, and great compassion"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以世俗菩提心为基础，修习,"Based on worldly bodhicitta, practice"
,初级利他,Primary altruism
,心理,mental qualities
,悲悯心；陪伴、关爱、引导；,"Compassion; companionship, care, guidance;"
,爱语、利行、同事、忍辱,"Love words, good deeds, colleagues, patience"
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以世俗菩提心为基础，修习,"Based on worldly bodhicitta, practice"
,基础利他,Basic altruism
,心理,mental qualities
,感恩；随喜；理解、同情、接纳；,"Gratitude; rejoicing; understanding, sympathy, acceptance;"
,布施,Alms
,中级正念修习 —— 依四念处，拓展觉知，体会心的清明,"Intermediate mindfulness practice - relying on the four foundations of mindfulness, expanding awareness and experiencing the clarity of mind"
,修习正念,Practice mindfulness
,培养、训练、熟悉,"Cultivate, train, familiarize"
,中级正念,Intermediate Mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,培养、训练、熟悉,"Cultivate, train, familiarize"
,胜解；无贪、无嗔、无痴、轻安、,"The ultimate solution: no greed, no anger, no delusion, peace of mind,"
,行舍、不放逸,Walk without letting go
,培养、训练、熟悉,"Cultivate, train, familiarize"
,以中级正念，修习,Practice with intermediate mindfulness
,初级正念,Elementary Mindfulness
,相关心理,Related Mental Qualities
,正见、作意、定（止）、慧（观）,"Right view, concentration, concentration (concentration), wisdom (contemplation)"
,消除轮回心理,Eliminate Cyclic Mental Patterns
,自修、定课,"Self-study, scheduled courses"
,和,And
,独处,Alone
,时，要消除放逸、懈怠、散乱、昏沉、失念、不正知；贪、嗔、痴。,"At this time, we must eliminate laziness, laziness, distraction, lethargy, loss of thoughts, incorrect knowledge, greed, anger, and ignorance."
,交流、与人相处、服务大众,"Communicate, get along with others, serve the public"
,时，要消除重要感、优越感、主宰欲；忿、恨、恼、害、嫉、覆、谄、诳、悭。,"At this time, we must eliminate the sense of importance, superiority, and desire to dominate; anger, hatred, annoyance, harm, jealousy, subversion, flattery, deceit, and thrift."
课程详情页-菩提导航-智士1、2,修习共同基础心理,Practicing Common Ground mental qualities
,共同基础心理,Common Foundational Mental Qualities
,认识并建立,Recognize and establish
,胜义菩提心,ultimate bodhicitta
,训练、熟悉、提升,"Training, familiarity, improvement"
,信、惭愧、持戒、忏悔；真诚、,"Faith, shame, discipline, repentance; sincerity,"
,认真、老实；精进。,"Serious, honest; diligent"
,高级正念修习 —— 消除二元执著，放下觉知，体认无念,"Advanced mindfulness practice - eliminate dualistic attachments, let go of awareness, and realize the absence of thoughts"
,高级正念,Advanced mindfulness
,认识并建立,Recognize and establish
,高级正念,Advanced mindfulness
,修习正念相关心理,Practice Mindfulness-Related Mental Qualities
,认识并建立,Recognize and establish
,无所得心、无念、平常心,"No gain, no thoughts, a normal mind"
,训练、熟悉、提升,"Training, familiarity, improvement"
,以高级正念，修习,Practice with advanced mindfulness
,中级正念,Intermediate Mindfulness
,相关心理,Related Mental Qualities
,胜解；无贪、无嗔、无痴、轻安、,"The ultimate solution: no greed, no anger, no delusion, peace of mind,"
,行舍、不放逸,Walk without letting go
,训练、熟悉、提升,"Training, familiarity, improvement"
,以高级正念，修习,Practice with advanced mindfulness
,初级正念,Elementary Mindfulness
,相关心理,Related Mental Qualities
,正见、作意、定（止）、慧（观）,"Right view, concentration, concentration (concentration), wisdom (contemplation)"
