中文,英文,释义,梵文,巴利文,出处
断德,the merit of severing affliction,【三德】  Three aspects of the Buddha's virtue: (1) The merit of his compassion; (2) the merit of severing affliction; (3) the merit of his wisdom.,,,FROM:【《英汉-汉英-英英佛学辞典》中华佛典宝库编】
饿鬼,ghosts,,preta,,
二元对立,duality and opposition,,,,
发菩提心,,"To make the resolve to attain supreme enlightenment. The 'idea,' 'intention,' or 'thought'  of 'awakening'  is the aspiration to attain Buddhahood for the sake of helping all living beings. To 'give rise'  to that aspiration is take the first step on the bodhisattva path (the path to Buddhahood), and is extoled as such in Mahayana sūtra and commentarial literature.",bodhi-citta-utpāda,,
发心,arouse the mind; give rise to the aspiration of…/make the resolve to attain…; aspiration,"The arousal of the thought, resolve, or sincere and earnest intention to attain enlightenment, especially for the sake of saving other sentient beings. To make up the mind to; to set out for perfect enlightenment.",bodhi-citta-utpāda,,DDB
发愿,make a vow,"To vow, resolve; to give rise to the intention to save all sentient beings. To arouse the aspiration for enlightenment, or rebirth in the Pure Land.",,,DDB
法,Dharma,,,,
法,dharma,,,,
法界,dharma realm,the universe as governed by the law of cause and effect.,dharma-dhātu,,DDB
法器,Dharma-vessel,"(1) Someone who is suitably prepared to believe and understand the teachings of Buddhism. (2) In the Chan tradition, one who is capable of being entrusted with the. (3) A ritual vessel used in Buddhist ceremonies.",,,FROM:【汉英-英汉-英英辞典】
法身,truth/dharma body,,dharmakāya,,
法随法行,making an effort to practice accordingly to accord with Buddha Dharma,,,,
法义,"Dharma,Dharma-talk,Dharma-text",,,,
法执,clinging/attachement to a self in phenomena/the reality of phenomena,The belief that the compositional elements of existence are inherently real. unconscious attachment to the reality of phenomena.,dharmātmagraha,,
法执,attachment to the teachings,,,,
凡夫,unenlightened person,A person at the mundane level of cognition and practice.,bāla,bāla,DDB
凡夫心,ordinary/unenlightened (people's) mind,As distinguished from Buddha mind.,,,DDB
烦恼,affliction/defilement/mental disturbance/emotional negativity,"All of the thoughts, words, actions and emotions which arise and cease based on nescience and desire which keep human beings trapped in the cycle of birth and death, and which result in suffering. Therefore, Buddhism teaches methods for attaining nirvana/enlightenment as a means of eliminating the afflictions.",kleśa,,
方便,skillful/expedient means,,,,
放逸,dissipation/self-indulgence/profligacy/lack of discipline/ debauchery,"To abandon oneself to secular enjoyment, such as watching plays, singing and dancing, comedy acts, etc. Playing with oneʼs energy. Not holding strictly to the cultivation of wholesome mental states and repelling evil. ",pramāda,pamāda,DDB
分别,discrimination,,,,
佛随念,,,Buddhānusmṛti,,
福报/福德,merit,"The store of wholesome karma created by the performance of virtuous deeds, which fructify in the form of happiness in the future. This merit may be accumulated over many lifetimes and dedicated toward a specific outcome, such as a favorable rebirth for oneself or another, or the achievement of buddhahood.",puṇya,,
公案,koan/public record/precedent,"Better known in the West by its Japanese pronunciation kōan, a word that has now entered common English parlance as “koan.”The term is widely used in the Chan school in a way that conveys both denotations of a legal precedent and a story.",,,PDB
功德,spiritual virtue/meritorious quality,,guṇa,,
共业,shared karma,"Karma that is held in common by certain groups of people. Effects that are shared with others as a result of their sharing in the same activities. For example, the fact that people experience their environment and the things of the natural world in the same way is explained by the fact that they share in the same flow of activity.",sādhāraṇa-karman,,DDB
观,insight/contemplation/vipassana,a technical term for an understanding of reality (either conceptual or nonconceptual) at a level of mental concentration equal to or exceeding that of calmness (śamatha).,vipaśyanā,vipassanā,PDB
观禅,insight meditation/vipassana,,,,
观慧/智,observing/observation wisdom,The wisdom that penetrates to ultimate reality.,,,DDB
观念,perception,,,,
观想,visualization practice,,,,
观想,visualize,,,,
观照（力）,observe/contemplate; power of contemplation/contemplative power,,,,
观照力,observation power/ability,,,,
皈依,take refuge/trust in absolutly,"To venerate the Three Treasures of Buddhism (the Buddha, the Dharma and the saṃgha).  To have full and perfect trust in the Buddhaʼs teaching. To 'turn to and rely upon.'",śaraṇa,saraṇa,DDB
皈依三宝,"take refuge in the three Jewels(the Buddha, the Dharma, and the Sangha)",,,,
过堂,have/take meals,,,,
还灭门,gate to extinction,,,,
行亦禅，坐亦禅，语默动静体安然,"walking is meditation, sitting is meditation, whether speaking or silent, moving or still, oneʼs body is at peace.",出自永嘉玄觉大师「证道歌」,,,
话头,"keyword, critical phrase, principal theme, head phrase, Hua Tou",,,,
回向,dedicate the merit,,,,
慧,wisdom/insight/cognition,an understanding of reality that transcends ordinary comprehension,prajñā,,
慧根,faculty of wisdom,,,,
昏沉,sloth and torpor/drowsiness/dullness,,styānamiddha,,
寂静," Stillness, quiescence, mental equipoise",,, sama,
加行,"preparation for practice, preparatory practice, stage of initial application",,,,
见地,,,,,
接纳,accept/emprace,,,,
结行,"practice ending, the ending of practice",,,,
解脱,liberation/freedom/deliverance/release,The state of liberation from suffering and rebirth. The term is often used as a synonym for nirvāṇa.,mokṣa,,PDB
解脱道,the path to liberation,,mokṣamārga,,
解脱的用心模式/解脱相应心理,mind/mindset/mentality that leads to/corresponds to liberation,,,,
戒,precept/behavioral discipline/moral discipline/morality,The rules of religious discipline.,śīla,,DDB
尽虚空遍法界,to the end of space and throughout the entire Dharma Realm/until the end of the realm/As long as space and sphere of reality remains,,,,
精进,vigor,,vīrya,,
经行/行禅,walking meditation,,,,
经教,The teaching of the scriptures,,,,
觉察/知（力）,aware/awareness,To scrutinize thoroughly; examine carefully. To analyze phenomena in detail.,,,DDB
觉醒,awakening/enlightenment,,,,
觉性,enlightened nature,"The enlightened mind free from all illusion. The mind as the agent of knowledge, or enlightenment. ",,,DDB
开示,preach a formal public sermon/elucidate the teachings,,,,
开示,Dharma talk,,,,
空,emptiness/voidness,"the lack or absence of intrinsic nature in any and all phenomena, the final nature of all things , and the ultimate truth.",śūnyatā,,PDB
空性见,the view of emptiness,,,,
苦,suffering/pain,,duḥkha,,
愧,remorse/fear of blame/modesty,,apatrāpya,,
离苦得乐,escaping from suffering and attaining joy,,,,
离三过、具六想,,,,,
理解,understand,,,,
利行, purposeful behavior,,,,
利他,altruism; altruistic; altruistic behaviors,,,,
令心安住,abide/dwell on/set one's mind to,,,,
流转次第,,,,,
六尘,six dusts/objects,"They are the field of form, field of sound, field of odor, gustatory field, tactile field, and conceptual field. ",,,
六道,six destinies/realms,,,,
轮回,samsara/the cycle of birth and death/transmigration/reincarnation/cyclic existence,"This is the expression of the ancient Indian idea that all living things repeatedly pass through life and death. Like a continually spinning wheel, sentient beings are reincarnated and die without end. In Buddhism, one is said to transmigrate through the triple realm (desire, form and formless realms) and the six destinies (god, demigod, human, animal, hungry ghost, hell-being).",saṃsāra,,DDB
轮回串习,samsaric habit,,,,
轮回的用心模式/轮回相应心理,mind/mindset/mentality that leads to/corresponds to samsara ,,,,
盲修瞎练,blind practice,,,,
迷惑,delusion /confusion/perplexity/doubt,,,,
名寻思,investigation of names,,,,
明性/明,clarity/luminosity/enlightenment/consciousness,"(1) Knowing, consciousness. (2) The Vedas. (3) The wisdom of enlightenment; enlightenment (vidya^). (4) Illumination (prabha^, a^loka, avabha^sa). (5) Skilled, ingenious (kau/sala).",ānimitta,,"DDB,FoDict"
难得易失,difficult to obtain and easy to lose,,,,
内观,"internal observation
introspect","Inner reflection; inner observation of the mind, or principles.",,,
念,mindfulness/recollection/memory,commonly used in meditative contexts to refer to the ability to remain focused on a chosen object without forgetfulness or distraction.,smṛti,,
念佛,To be mindful of the meritorious virtues of the Buddha,,,,
念三恶趣苦,Contemplate the suffering of three evil destinies,,,,
念死无常,mindful of death,,,,
念头,thought,,,,
宁静,tranquility,,,,
平等舍/平等心,equanimity,"a term with at least four important denotations: (1) as a sensation of neutrality that is neither pleasurable nor painful; (2) as one of eleven virtuous mental concomitants, referring to a state of evenness of mind, without overt disturbance by sensuality, hatred, or ignorance; (3) as a state of mental balance during the course of developing concentration, which is free from lethargy and excitement; and (4) one of the four “divine abidings”, along with loving-kindness, compassion, and sympathetic joy. As a divine abiding, upekṣā indicates an even-mindedness toward all beings, regarding them with neither attachment nor aversion, as neither intimate nor remote.",,upekṣā,
破迷开悟,Breaking the Blind Enlightenment，Broken fan enlightenment，Break the fans and be enlightened,,,,
菩萨道,the path to enlightenment,,bodhi-mārga,,
菩萨行,"Bodhisattva Deeds，
The practices of the bodhisattva",,,,
菩提道次第（略论）,The Middle-Lenghth Treatise on the Stages of the Path to Enlightenment,,,,
菩提道次第广论,The Great Treatise on the Stages of the Path to Enlightment,,,,
菩提心,"the awakened/enlightened mind
Bodhisatta Ideal",,bodhicitta,,
菩提心,bodhicitta,"The awakened mind; the mind that perceives the real behind the seeming, believes in moral consequences, and that all have the Buddha-nature, and aims at Buddhahood. The aspiration to realize bodhi-wisdom, that is, perfect enlightenment. ",bodhicitta,,DDB
菩提心,aspiration to help all sentient beings/aspiration to attain Buddhahood,The aspiration to help all sentient beings cross over to the other shore [of enlightenment] before doing so oneself. ,,,DDB
普贤行愿,Prayer of Samantabhadra,, (Samantabhadra-carya-pranidhana),,
普贤七支供,the Samantabhadra’s Seven Offerings ,,,,
七因果,seven karmas,,,,
亲近善知识,being close to good teachers,,,,
轻安,tranquillity/serenity,The light and blissful bodily feeling that accompanies deep states of meditation,praśrabdhi,,
求不得苦,the suffering of not-getting,"the suffering we experience when we can not obtain those things which we desire. This is one of the ""four and eight types of suffering"" (四苦八苦) taught by S/a^kyamuni in his exposition of the Four Noble Truths ",,,FoDict
染污,afflictive,"To stain or taint. To soil clothes, etc. Dirt, filth, contamination. To contaminate the pure mind with defilements (2) To conceal, hide deceive; to be covered by filth.",,,
忍辱,patience/forbearance,,kṣānti,,
如法的,according to/agreeing with/in conformity with the Dharma,,,,
如来藏,,,Tathāgatagarbha,,
如理思维,"Rational thinking
thinking match the truth",,,,
如理作意,think reasonably in line with the Dharma,,,,
如实,"True, real. To go along with reality; follow; accord with the truth",,,,
入菩萨行论,A Guide to the Bodhisattva's Way of Life/Engaging in the Bodhisattva Deeds,,,,
三宝,the three jewels/treasures; triple gem; triratna,"the three principal objects of veneration: the Buddha, the DHARMA, and the SAṂGHA.",ratnatraya,ratanattaya/tiratana,PDB
三藏,"Tripitaka,buddhist canon, 
three baskets,
Three Collections","The Buddhist canon, which is traditionally categorized into three divisions (""three baskets"")",,,
三毒,three poisons,"The three basic afflictions from which all other afflictions are derived: (1) desire, craving (rāga); (2) anger, aversion (dveṣa); and (3) nescience, folly (moha). Also known as the three unwholesome roots and three stumps.",,,DDB
三无漏学,three uncontaminated forms of training,,,,
三学,three trainings,"three overarching categories of Buddhist practice. First is the training in higher morality, which encompasses all forms of restraint of body and speech, including lay and monastic precepts that serve as the foundation for the cultivation of the succeeding stages of concentration and wisdom. Second is the training in higher concentration, which encompasses all forms of meditative practice directed toward the achievement of states of concentration. Third is the training in higher wisdom, which includes all forms study and reflection that are directed toward developing insight into the true nature of reality. These three trainings are said to subsume all of the constituents of the noble eightfold path.",triśikṣā,tisikkhā,PDB
散乱,distraction/disturbance; loose/disconnected/ scattered/disordered ,A condition of the mind of wandering through the fields of the six senses and not stopping for an instant.,vikṣepa,,DDB
善法,good dharma,,,,
善所缘,,,,,
上士道,"the Stages of the Path of Great Beings,
highest characteristics, 
persons of great capacity",,,,
深信,be deeply convinced; firmly believe,,,,
深信业果,the faith of conviction in karma and its effects,,,,
生命品质,life quality,,,,
胜解,determination/resolution; excellent understanding,"Resolve; devoted interest; to be interested in, inclined to. The Chinese translation, which reads more like 'excellent understanding' can be interpreted to mean that one who has devoted interest in something will gain excellent understanding of it.",adhimokṣa,,
胜义菩提心,the ultimate spirit of enlightenment/ultimate spirit of Bodhicitta/the ultimate bodhicitta,,,,
十二部,"Twelve Divisions,The twelve divisions of the Buddhist canon",,,,
十二因缘,twelve links of dependent arising,"When inquiring into what it is that gives rise to human suffering, the Buddha found it to be a continuum of twelve phases of conditioning in a regular order. These twelve links of conditioned existence are: ignorance, action-intentions, consciousness ,name and form, the six-fold sphere of sense contact, contact, sensation, desire, grasping, becoming, birth, and old age and death.",dvādaśa-astanga pratītyasamutpāda,,DDB
十方三世,ten directions in the three times/through all space and time,"The ten directions are east, west, south, north, the four intermediate directions, above and below. The three times are past, present, and future. ",,,DDB
十方三世一切众生,in the boundless universe and throughout the entire Dharma Realm,,,,
实相般若,,,,,
世俗串习,worldly customs and conventions,,,,
世俗菩提心,The conventional spirit of enlightenment/Conventional spirit of Bodhicitta,,,,
世俗菩提心,the conventional/worldly/mundane bodhicitta,,,,
事寻思,investigation of substances,,,,
受戒,ordained,,,,
四念处,the four foundations of mindfulness,"The fourfold contemplation to be practiced after one has completed the exercise of tranquilizing oneʼs mind: contemplating oneʼs body as defiled, contemplating oneʼs feelings as painful, contemplating oneʼs mind as constantly changing, and contemplating things in general as devoid of inherent existence.",catvāri..ṣmṛty-upasthānāni,cattāro sati-paṭṭhānā,DDB
四威仪,regulation of the four postures/four means of proper comportment ,"Walking, standing, sitting (especially in a cross-legged, or meditative posture), and lying down. These four postures, or four means of comportment are said to circumscribe all human activity, especially with regard to monastic practice. If one walks, stands, sits and even sleeps (lies down) in accord with the Vinaya, then that person is fully undertaking his monastic vows.",catur-vidhacāra,,DDB
四无量心,Four Immeasurable Minds,,catvāri-apramānāṇi,,
四种如实智,four kinds of cognition of things as they really are,,,,
四种寻思,four kinds of investigations,,,,
贪,attachment,,,,
贪,greed/craving/sensual attachment/covetousness; to hanker after,The mental action of attaching to objects and situations that one finds to be compatible to oneʼs own disposition.,rāga,,DDB
天,divinities,,deva,,
听闻规则,how to listen to the teaching,,,,
听闻正法,listening to the right dharma,,,,
同情,empathize,,,,
同事,"(1) To cooperate, to work together, to help each other. (2) To participate in the affairs of sentient beings in order to help them.
",,,,
妄念/心/想,deluded/defiled/attached/incorrect/mistaken thought/mind,a mind that gives rise to error. the mind incapable of apprehending the original essence of things.,,,DDB
微细的烦恼,subtle afflictions,,,,
唯识,"the Consciousness-only, theory of consciousness-only, Vijnanamatra",,citta-ma^tra,,
唯识,mind-only,the external world of the senses does not exist independently of the mind and that all phenomena are mere projections of consciousness.,cittamātra,,PDB
未修中间,during the intervals of not cultivating,,,,
文字般若,,,,,
闻思,the two kinds of wisdom of hearing and thinking; learn and contemplate,,,,
闻思修,"Hearing, thinking and meditating on the Dharma
Hearing, thinking and practicing",,,,
我执,clinging/attachement to (the reality of a) self/permanent personality,"The attachment to the notion of an enduring, inherent self.",ātmagraha,attagaha,DDB
无常,impermanence,"compounded objects created by causes and conditions are inevitably subject to change, decline, and finally destruction.",anitya,anicca,PDB
无嗔,non-/no/absence of/free from ill-will/anger,,adveṣa,,
无痴,non-/no/absence of/free from delusion,A lack of delusion in the mind; the presence of a clear view regarding objects. It has the correct practice informed by ascertainment of thusness as its nature.,amoha,,
无明,ignorance/nescience/delusion,"As the fundamental misunderstanding of reality that underlies all of the suffering of unenlightened people, it is the first of the twelve links of dependent arising.",avidyā,avijjā,DDB
无始,beginningless,"Refers to a situation where no matter how far back (in time) one goes, a beginning point cannot be found. Without beginning, as is the chain of transmigration.",anādi,,
无始以来,since beginningless time,,,,
无所得,no attainment ,,,,
无贪,non-/no/absence of/free from craving/coveting,The function of the mind of keeping itself from being infected by avarice. A lack of covetousness—actively disliking and distancing from the object of desire. A mental state of counteracting the mindʼs tendency to crave after the object of desire. ,alobha,,
无我,noself/nonself/selflessness,"since all compounded things are the fruition of a specific set of causes and conditions, they are therefore absent of any perduring substratum of being.",anātman,anattā,PDB
无相,featureless/signless,,,,
无住,non-abiding ,,,,
无自性空/空,empty of intrinsic nature/ emptiness,"1）DDB：all persons and phenomena are empty of an intrinsic nature；2）) FoDict：'emptiness', 'non-existence', 'voidness.' (/su^nyata^, /su^nya); The opposite of 有--the negation of existence. As the rejection by the Buddha of this 'emptiness' being simply the mistaken view of 'nothingness' 虚无, this basic Buddhist teaching of emptiness is the negation of the two mistaken views of the acceptance of the real existence of a self 我, and the understanding of an eternal nature of the compositional elements (法) that make up the world or the self. ",svabhāvaśūnya,,PDB，FoDict
五欲,five desires,"1) Five kinds of desire that arise from attachment to the objects of eyes, ears, nose, tongue, and body. 2) The five desires of wealth, sex, food, fame, and sleep.",,,DDB
五蕴,five aggregates,,,,
五蕴炽盛苦,the suffering of the five appropriated aggregates,,,,
暇满人身,optimum human form/well-endowed human form/human life endowed with leisure and opportunity,,,,
下士道,"the stages of the path of lesser beings
minimum characteristics
persons of small capacity",,,,
懈怠,laziness/idleness/indolence,,,,
心地功夫,mind-ground Gongfu,,,,
心行,mindfulness of mental functions,,,,
心灵觉醒之路,The path to spiritual awakening,,,,
心态,mentality,,,,
信,faith/belief/confidence/conviction/trust,"Faith has a wide range of meanings in Buddhism, ranging from a kind of mental clarity and positive disposition toward the Buddha, to a sense of conviction about the efficacy of the Buddhist path, to a commitment to follow that path.",śraddhā,,
修行,practice; perform/cultivate/practice,,,,
修学,learn and practice,,,,
修学之路,the path of learning and practicing,,,,
修证,"practice and realization,the realization resultant of practice",,samuda^gama,,
虚妄,"falsehood, fabricated；",,,,
虚妄分别,false discrimination;,Imaginative construction of that which is nonexistent,vikalpa,,
学佛,to study and practice Buddhism; to emulate the Buddha,,,,
学员,students,,,,
业果,karmic fruits,,,,
业力,karma,,,,
一大堆混乱的情绪，再加上一大堆错误的想法,a lot of messy emotions and wrong thoughts,,,,
依止,reliance,,dependence,,
义大,"signality, significant, important, critical",,,,
因缘因果,the law of cause and effect,,,,DDB
应机设教,according to the living environment and the root of all living beings,,,,
勇猛精进,"Courageous and diligent; 
Great, courageous, unswerving energy applied toward(the attainment of the goal of liberation)",,,,
用心,apply/use one's mind; intention,,,,DDB
用心能力,ability to apply the mind,,,,
用心习惯,habit of using the mind,,,,
有漏,contaminated; tainted; outflow,,sāsrava,,
瑜伽菩萨戒品,Treatise on the Foundation for Yoga Practitioners,,,,
欲,zeal/desire-to-act,,chanda,,
欲,sensuality,,kāma,,
圆满," (1)To fill (up). To satisfy. To complete, to consummate; especially completion of wisdom. (2) To possess qualifications, to fulfill conditions. (3) To supply what is missing. (4) Complete, lacking nothing. To be in full possession of something.",,,,
緣起,dependent arising/conditioned genesis/dependent co-arising/interdependent arising ,"Everything arises from conditions; there is nothing that arises out of nothing; there is nothing that arises of itself; and things do not come into existence through the power of an external Creator. Thus, there is nothing that is self-contained, independent, or which has its own separate and independent nature. All phenomena are given rise to due to the mutual relationships of countless causes and conditions and are not independently existent. ",pratītya-samutpāda,paṭicca-samuppāda,DDB
缘,condition,Indirect cause; secondary cause; associated conditions. Referring generally to the subsidiary factors whose concomitance results in the production of an effect from a cause.,pratyaya,,
缘起性空,the empty nature of conditioned-arising,,,,DDB
怨憎会苦,the suffering of encountering what is unpleasant,,,,
愿心,,,,,
在家居士,lay practitioner,,,,
增上缘,"causes beyond those of immediate motivation/dominant condition
",,,,
真实语,true words,,the words of the Buddha,,
正遍知,omniscience ,,,,
正行,"Right Action, Correct practices; correct behavior","Following the correct way, which, in early Indian Buddhism, will lead to the attainment of arhatship.

the fourth of the Eightfold Path; respect for life (do not kill), property (do not steal) and personal relationship (no sexual misconduct) so as to purify one's mind and body.",,"samma^-pat!ipatti, pasati)",
正见,right understanding/right view,,,,
正念,"right/correct mindfulness
Right Remembrance
Correct thought","looking on the body and the spirit in such a way as to remain ardent, self-possessed, and mindful, having overcome both hankering and dejection.",samyaksmṛti,,
正念,right/correct mindfulness,commonly used in meditative contexts to refer to the ability to remain focused on a chosen object without forgetfulness or distraction.,samyaksmṛti,sati,PDB
正念禅修,mindfulness meditation,,,,
正知,clear comprehension/introspection,the factor that observes the mind to determine whether it has strayed from its object.,saṃprajanya,sampajañña,PDB
正知正念,clear comprehension and right mindfulness,,,,
知见,"wisdom and insight, knowledge and views, knowledge and vision; seeing with wisdom, to know by seeing; informed view, an understanding based on knowledge,becoming aware, intellection, the function of knowing, views, doctrines",,,,
执着,attachment/clinging/grasping,,,,
止,stillness/calmness/serenity/quiescence/tranquillity/samatha,the mental peace and stability that is generated through the cultivation of concentration. It is defined technically as the specific degree of concentration necessary to generate insight into reality and thus lead to the destruction of the afflictions.,śamatha,samatha,PDB
止禅,concentrtation meditation/samatha,,,,
止观,calmness and insight,a meditative state that combines the clarity and stability of śamatha with the understanding of the nature of reality associated with vipaśyanā.,śamathavipaśyan,samathavipassanā,PDB
智慧/般若,wisdom/prajna,"An important aspect of the correctly functioning (enlightened) mind that perceives things in their true nature, and therefore acts to sever delusion and harmful habituation. One of the six perfections.",prajñā,paññā,DDB
中观,,,Madhyamaka ,,
中士道,"the stages of the path of intermediate beings, 
middling characteristics, 
persons of medium capacity/ small capacity",,,,
众生,sentient beings,,,,
诸法唯识,all phenomena are mere projections of consciousness,,,,PDB
助缘,cooperative conditions,,,,
专注（力）,concentrate; concentration/stillness,,avadhāna,,
转凡成圣,transform worldling/ordinary man/unenlightened person into a sage/saint/wise man,,,,
转迷为悟,transform delusion into enlightenment,,,,
转染成净,,,,,
转识成智,"from knowledge to wisdom,transformation of knowledge to wisdom",,,,
自他相换,"Tonglen；
设身处地 place oneself in others' position，put oneself in another's place，put oneself in another's place， judge of others as we should if we were in their place; look at sth. from the angle of others;
换位思考transpositional consideration/transpositional consideration",,,,
自性,self-nature/intrinsic existence/inherent existence,"a hypostatized and reified nature that is falsely attributed to phenomena by ignorance, such that phenomena are mistakenly conceived to exist in and of themselves.",svabhāva,,PDB
自性假立寻思,the investigation of the designated intrinsic natures,,,,
自由/自在/自主,autonomy/sovereignty/independence/freedom/omnipotence/mastery/unimpededness,The ability of an enlightened being to function freely without any material or mental constraints — without any hindrance from afflictions or cognitive error.,vaśitā,,DDB
祖师,patriarch,eminent teachers in lineages that are claimed to trace back to ŚĀKYAMUNI Buddha or even earlier buddhas.,,,PDB
座上修,On-Seat Meditation ,,,,
座下修,Under-Seat Meditaion,,,,
三法印,Three seals/ Three Universal Truths/Three Universal Characteristics,"The three marks of the law. Three aspects of the Buddhist teaching that clearly distinguish it from non-Buddhist teachings: all things are impermanent, all things lack inherent existence (no-self), and that nirvana is perfect quiescence. ",tri-dṛṣṭi-namitta-mudrā,dhammamuddā,DDB，PDB，FoDict
善逝,well gone,"Well departed, gone as he should go. The fifth of the ten epithets of the Buddha.","svayaṃ-bhū, bhagavat, kṣema-gāmin",sugata,DDB〔法華經 T 262.9.19b11〕
福田,field of merit/field of blessings,"(1) A reference to the three treasures: the Buddha, the sangha and dharma; also, one's parents and the poverty-stricken. These are the objects toward which one should direct his/her religious practice. (2) The place where people nurture and develop their meritorious virtues. (3) The practices which lead to enlightenment.",puṇya-kṣetra; dakṣinīya,puñña-kkhetta,DDB
心王,mind-king,"The overall cognitive function of oneʼs consciousness, as opposed to the distinctive mental functions which belong to it (called 心所).   /   The basic essence of the mind—the source of cognitive function, the ālayavijñāna 阿賴耶識.",,,DDB
信众,believer/followers,,,,
嗔恨,hatred,,,,
