中文,英文,摘自,Comments
以小见大,see the grand from the minute,禅意设计“十二字箴言”,
返璞归真,revert to original simplicity,禅意设计“十二字箴言”,
字如其人,One’s calligraphy reflects one’s personality.,禅意设计“十二字箴言”,
作茧自缚,"like silkworms trapping oneself in cocoons/
fall into the pit one dig for oneself","禅意设计“十二字箴言”/
生命的痛苦及其解脱",
不以物喜，不以己悲,neither take pleasure in material goods nor express pity for ourselves,禅意设计“十二字箴言”,
轻装上阵,go into battle without any burdens,禅意设计“十二字箴言”,
功夫在画外,Efforts are made beyond the painting.,禅意设计“十二字箴言”,
享乐主义者,hedonist,生命的痛苦及其解脱,
万物有灵论,animism,生命的痛苦及其解脱,
蛊惑人心,bewitch the mind,生命的痛苦及其解脱,
绞尽脑汁,rack one's brains for,生命的痛苦及其解脱,
沽名钓誉,fish for fame,生命的痛苦及其解脱,
单相思,unrequited love,生命的痛苦及其解脱,
沽名钓誉,angle for fame and an unearned reputation,生命的痛苦及其解脱,
文人相轻,"Literati often belittle each other,",生命的痛苦及其解脱,
如影随形,just like a shadow following its form,生命的痛苦及其解脱,
诲淫诲盗,incite lust or theft,生命的痛苦及其解脱,
无商不奸,there’s no business without deceit,生命的痛苦及其解脱,
丝毫不爽,unfailing,生命的痛苦及其解脱,
上天,higher powers,生命的痛苦及其解脱,
处处碰壁,find obstacles in every endeavor,生命的痛苦及其解脱,
怨天尤人,blame others or fate,生命的痛苦及其解脱,
一视同仁,treat them equally without discrimination,生命的痛苦及其解脱,
宿命论,fatalist,生命的痛苦及其解脱,
机械因果论,the deterministic causality,生命的痛苦及其解脱,
认贼为子,mistake the thieves for one's children,生命的痛苦及其解脱,
生活美学,aesthetic philosophy of life,茶与禅的修行,
敬畏之心,a sense of profound respect for,茶与禅的修行,
以少胜多,minimalism,茶与禅的修行,
生活美学,a life aesthetic,茶与禅的修行,
返璞归真,return to simplicity,茶与禅的修行,
崇尚自然、简单、朴素,"embrace naturalness, simplicity, austerity",茶与禅的修行,
历经风霜,be weathered by time,茶与禅的修行,
让人耳目一新,offer a refreshing change,茶与禅的修行,
用心呵护,care for sth meticulously,茶与禅的修行,
喜新厌旧,discard them on a whim,茶与禅的修行,
因地制宜,appropriate to the context,茶与禅的修行,
惊天动地的,earth-shattering,茶与禅的修行,
做茶会,conduct a tea ceremony,茶与禅的修行,
仪式感,a sense of ritual,茶与禅的修行,
把握尺度,grasp the proper measure,茶与禅的修行,
食古不化,be rigid,茶与禅的修行,
拘泥形式,be fixated on the surface,茶与禅的修行,
本末倒置,put the cart before the horse,茶与禅的修行,
正念减压疗法,mindfulness-based stress reduction,正念禅修的要领,
正念认知疗法,mindfulness-based cognitive therapy,正念禅修的要领,
养生,health preservation,正念禅修的要领,
龙象辈出,with many eminent masters emerging,正念禅修的要领,
昂首挺胸,chest out and chin up,正念禅修的要领,
不紧不慢,neither hurried nor slow,正念禅修的要领,
亦庄亦谐,be earnest or humorous,正念禅修的要领,
修身、齐家、治国、平天下,"first cultivate oneself, then manage the family, govern the state, and bring peace to the world
cultivate oneself, harmonize one’s family relations, govern the country, and bring peace to the world, aim to benefit society
self-cultivation, family harmony, governance of the country and peace in the world","开启正念与慈悲大爱
东方智慧在当今世界的价值",
修身养性,cultivate oneself,开启正念与慈悲大爱,
扑朔迷离,perplexing,开启正念与慈悲大爱,
天灾人祸,natural disasters and human calamities,开启正念与慈悲大爱,
学以成人,learn to become a virtuous person,东方智慧在当今世界的价值,
连锁反应,ripple effects,东方智慧在当今世界的价值,
陶冶情操,nurture one's sentiments and overall characters,东方智慧在当今世界的价值,
各擅其美,embrace one's uniqueness,东方智慧在当今世界的价值,
格义,Geyi (“Matching Concepts”),东方智慧在当今世界的价值-文以载道,
文人士大夫,literati and scholar-officials,东方智慧在当今世界的价值-文以载道,
附会,forced association with,东方智慧在当今世界的价值-文以载道,
迂而乖本,circuitous and deviating from the original meaning,东方智慧在当今世界的价值-文以载道,
四圣十哲,Four Sages and Ten Great Thinkers,东方智慧在当今世界的价值-文以载道,
共襄盛举,jointly contribute to a grand endeavor,东方智慧在当今世界的价值-文以载道,
危言耸听,alarmist,东方智慧在当今世界的价值-文以载道,
另辟蹊径,reinvent the wheel,东方智慧在当今世界的价值-文以载道,
唯利是图,pursuit of a profit-first,从佛法视角谈“断舍离”,
拜金成风,materialistic mindset,从佛法视角谈“断舍离”,
知足常乐,Contentment brings constant happiness,从佛法视角谈“断舍离”,
迷头认影,forgetting the head to look for shadows,凡圣只在迷悟间,
沧海一粟,merely a drop in the ocean,佛教的世界观,
杯弓蛇影,seeing the reflection of a bow in a cup appearing as a snake,佛教的世界观,
邻人窃斧,suspecting a neighbor of stealing an axe,佛教的世界观,
以讹传讹,Rumors can spread unchecked.,佛教的世界观,
问心无愧,with a clear conscience and a willing heart,佛教的世界观,
心无旁骛,the mind remains undistracted,煮茶观心,
待人接物,interacting with others,煮茶观心,
功利,"self-serving, practicality","生命的自觉与自由
煮茶观心",
刚需,a pressing need,煮茶观心,
广布天下,spread far and wide,煮茶观心,
馋当厨子懒出家,"The glutton becomes a cook, and the lazy one becomes a monastic.",煮茶观心,
一气呵成,flows smoothly in one seamless sequence,煮茶观心,
修身齐家,"cultivate oneself, bring harmony to the family",煮茶观心,
学以成人,learning as a path to becoming a virtuous person,煮茶观心,
五伦,the Five Relationships,煮茶观心,
父慈子孝，兄友弟恭,"Parents will be loving, children filial, and siblings will treat each other with kindness and respect.",煮茶观心,
安身立命,find meaning of life,煮茶观心,
做人做事,"conduct oneself, manage affairs",煮茶观心,
修身、齐家、治国、平天下,"cultivate oneself, harmonize one's families, govern the country, and promote global peace",煮茶观心,
精致的利己主义者,refined egoist,煮茶观心,
仁义礼智信,"benevolence, righteousness, propriety, wisdom, and trustworthiness",煮茶观心,
温良恭俭让,"gentleness, kindness, respect, frugality, and humility
gentleness, kindness, courtesy, restraint, magnanimity","煮茶观心
传承国学",
猴子捞月,a monkey reaching for the moon’s reflection in water,以茶入禅,
无所顾忌,act without restraint,以茶入禅,
公道杯,fairness cup,以茶入禅,
拾人牙慧,repeat others’ wisdom without truly grasping it,以茶入禅,
评茶师,tea taster,以茶入禅,
花开有时,Every flower blossoms in Its own time.,以茶入禅,
本末倒置,lose sight of the original purpose,以茶入禅,
传承国学,carry forward classical Chinese wisdom,传承国学,
安身立命,bring peace and purpose to Sb.,传承国学,
道统,the moral tradition,传承国学,
为...买单,foot the bill for,传承国学,
社会认可,social dndorsement,传承国学,
三不朽:立德、立功、立言,"the “Three Imperishables”—to establish one’s merit, virtue, and teachings",传承国学,
学以成人,learn to be huma,传承国学,
"《大学》
正心、诚意、格物、致知","rectify the mind, make thoughts sincere, extend knowledge, and investigate things",传承国学,
慎独,self-discipline in solitude,传承国学,
朱熹理学,Zhu Xi’s Neo-Confucianism,传承国学,
阳明心学,Wang Yangming’s School of Mind,传承国学,
即物穷理,investigate things to the utmost,传承国学,
从做人到做事,from being a good person to doing meaningful deeds,传承国学,
国学,"classical Chinese culture
classical Chinese learning
classical Chinese wisdom
Chinese classics","传承国学
传承国学
传承国学
传承国学",
过得有滋有味,lived a life rich in flavor and meaning,传承国学,
被控,be a slave to,传承国学,
主播,influencer,传承国学,
