中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
“我”/“我的”,the “self” and “that which belongs to the self”,"对“我”和“我的”的贪执，是凡夫心建立的基础，也是八万四千烦恼产生的源头。The attachment to the “self” and “that which belongs to the self” is the basis of unenlightened mind and the source of 84, 000 afflictions. ​​​​",菩提书院,导师微博,,8/28/2017,,,,
“无我相、人相、众生相、寿者相”,"the living beings have no mark of self, of others, of living beings, or of a life","《金刚经》里提到无相：“无我相、人相、众生相、寿者相”。as taught in the Diamond Sutra:""…the living beings have no mark of self, of others, of living beings, or of a life…""",龙泉寺,龙泉微开示,,3/28/2017,学诚法师,,,
“一心归命”,"behavior, speech and mind","“Dedicate oneself to the Buddha,” “一心归命”",龙泉寺,LQI20170917,,LQI20170917把心看住 | Keep Our Minds from Becoming Attached to Sense Objects,学诚法师,,,
《亲友书》,Nagarjuna's Letter to a Friend,"《亲友书》中有个偈颂是这样说的：“佛说一切财产中，知足乃为最殊胜，是故应当常知足，知足无财真富翁。”In Nagarjuna's Letter to a Friend, it said that ,according to the Buddha's advice,being content with fewer desires is the greatest asset that one can have.",各种开示,慧灯之光系列,,8/29/2017,慈诚罗珠堪布,,,
《世 尊 颂》,,Praise for the World-Honoured One,各种开示,慧日佛教英语,,《世 尊 颂》,传喜法师,,,
《坛经》,Platform Sutra,"The Platform Sutra says, “The Kingdom of Buddha is in this world, within which enlightenment is to be sought. To seek enlightenment by separating from this world is as absurd as to search for a rabbit's horn. ”《坛经》里说：“佛法在世间，不离世间觉，离世觅菩提，恰如求兔角。”",龙泉寺,LQI20170405,,逆顺达观，解脱自在,学诚法师,,,
《心经》,,Heart Sutra,龙泉寺,LQI20170331,,俄罗斯小伙子的佛缘,学诚法师,,,
《药师琉璃光如来本愿功德经》,The Sutra of the Merit and Virtue of the Past Vows of Medicine Master Vaidurya Light Taghagata.,"for this world and for all the sentient beings of the ten directions, will lecture on The Sutra of the Merit and Virtue of the Past Vows of Medicine Master Vaidurya Light Taghagata.心系天下，胸怀十方，定于国庆吉日，在河北保定月明寺宣讲《药师琉璃光如来本愿功德经》",各种开示,慧日佛教英语,,药师经法会通启,传喜法师,,,
阿底峡尊者,Atisha,,龙泉寺,LQI20170809,,为什么说学的人要清净 | As Disciples We Should Have Inner Peace and Quiet,学诚法师,,,
阿兰若处,,Aranya place,微信群,各种微信,,,,,,
阿罗汉,Arhatship,"Shortly afterwards, Mahanama and Assaji also attained Arhathship.稍后，摩男拘利和马胜也成就阿罗汉果位。",读书会,故道白云,,,P222,?,,
阿罗汉,Arhat,Can an Arhat have this thought (in his mind)阿罗汉能作是念,经论,金刚经,,英语佛教微信公众号,,,,
阿罗汉道,the enlightenment of an Arhat,I have obtained the enlightenment of an Arhat我得阿罗汉道不？,经论,金刚经,,英语佛教微信公众号,,,,
阿那含,Anagamin,Can an Anagamin have this thought(in his mind)阿那含能作是念,经论,金刚经,,英语佛教微信公众号,,,,
阿那含果,the fruit of an Anagamin,I have obtained the fruit of an Anagamin?我得阿那含果不？,经论,金刚经,,英语佛教微信公众号,,,,
阿那律,Anuruddha,"Many bhikkhus were of noble birth, such as the Venerable Nanda, the Buddha's brother, and Devadatta, Anuruddha, and Ananda.很多比丘来自贵族家庭， 如难陀，提婆达多，阿那律，阿难陀",读书会,故道白云,,,P7,?,,
阿难陀,Ananda,"Many bhikkhus were of noble birth, such as the Venerable Nanda, the Buddha's brother, and Devadatta, Anuruddha, and Ananda.很多比丘来自贵族家庭， 如难陀，提婆达多，阿那律，阿难陀",读书会,故道白云,,,P7,?,,
阿斯陀,Astia Kaladevela,a holy man named Astia Kaladevela,读书会,故道白云,,,P66,?,,
阿修罗,asuras,"you should know that all devas, men and asuras should make their offerings there as if the place was a Buddha stupa or a Buddha temple.当知此处，一切世间天人阿修罗皆应供养，如佛塔庙。",经论,金刚经,,英语佛教微信公众号,,,,
阿育王,the King Asoka,"有阿育王的石柱，有公元四世纪石刻的佛初转法轮像等等 including the King Asoka stone pillar, stone-engraved images of the Buddha’s first turning of the wheel of Dhamma dating from the 4th century AD etc.",微信群,佛教常识问答,,第一章第17问,作者：赵朴初,,,
安般守意经,the Sutra on the Full Awareness ofBreathing,The Bud-dha used this special occasion to deliver the Sutra on the Full Awareness of Breathing.佛陀又把握这个机会，向他们宣讲‘安般守意经’。,读书会,故道白云,,第五十六章,P555,,,
安住,righteously devoted,"If we can’t keep our mind “righteously devoted”, it means we have problems.自己为什么安不了心，意念不能善于敬住呢？那就说明是我们的问题了。",龙泉寺,LQI20170912,,边学边做 | Learning by Doing,学诚法师,,,
安住当下,focus on the present,能意识到自己的问题，就是进步的开始。安住当下，尽力努力。一分耕耘，一分收获。The first step to make progress is to be aware of your problems. Focus on the present and spare no effort to try. You reap what you sow.,龙泉寺,龙泉微开示,,2/6/2017,学诚法师,,,
安住修,,nonanalytical stabilizing cultivation,菩提书院,定稿,,2017.3,,,,
安住在佛法上,achor our minds in the Dharma,"This will free our minds from desire and help anchor our minds in the Dharma, allowing the seed of the Dharma to take root deep inside our heart and to grow.我们应该把自己的心安在佛法上，让佛法的种子不断在自己内心深处扎根、发芽，起到种子的作用",龙泉寺,LQI20170629,,觉照无常智慧生,学诚法师,,,
昂宿月,the month of Kattika,"The Pavarana ceremony, held at the end of each rainy-season retreat, fell on the full moon day of the month of Kattika that year, rather than Assayuja.这年两季安居后的自恣庆典，是在昂宿月月圆日，而并不是在平时的七、八月份。",读书会,故道白云,,第五十六章,P554,,,
八大宗派,the eight sects,"：以天台、华严、禅宗等八大宗派为代表的教义理论 和修证方法This state includedBuddhist doctrines and ways of practice and realization represented by the eight sects such as Tiantai, Huayan, and Chan",微信群,各种微信,,《中国佛教现状》,学诚法师,,,
八十八佛忏、三十五佛忏、药师忏、金光明忏,"eighty-eight buddhas, the thirty-five buddhas, the Medicine Buddha and the Sutra of the Golden Light.","The four powers are the shared core meaning of all repentance rituals such as confession of sins by the way of the eighty-eight buddhas, the thirty-five buddhas, the Medicine Buddha and the Sutra of the Golden Light.很多修忏悔的仪轨，如八十八佛忏、三十五佛忏、药师忏、金光明忏等，这些仪轨的内涵就是“四力对治”。",龙泉寺,LQI20170623,,忏悔的内涵,学诚法师,,,
八正道,,Eight noble paths,微信群,佛教常识的英文正译,,,,,,
八正道,the noble Eightfold Path,"It is the noble Eightfold Path of right understanding, right thought, right speech, right action, right livelihood, right effort, right mindfulness, and right concentration.它就是正见、正思惟、正语、正业、正命、正精进、正念和正定",读书会,故道白云,,,P218,?,,
八正道,the Eightfold Path,"佛陀出世，在以往各种宗教经验的基础上，总结他们存在的不足，以缘起的智慧，发现了轮回开展的规律——十二因缘，并提出解除轮回之链的秘诀——八正道。 The Buddha summarized the shortcomings of all previous religious experiences. With the wisdom of Dependent Co-arising, He discovered the law of Samsara - the Twelve Links of Dependent Origination, as well as unveiled the secret to unravel the chain of Samsara - the Eightfold Path.",菩提书院,导师微博,,9/10/2017,,,,
巴利语系佛教,,Pali Language Buddhism,微信群,佛教常识的英文正译,,,,,,
把…考虑在内,factor in,"To give credit to an all-powerful, omnipotent creator, we must factor in the element of time.如果将一切归功于全能而无所不在的造物主，我们就必须把是时间的因素考虑进去。",读书会,正见,,Chapter 1 P18,,,,
把利他与利己结合为一体,take self-regard and altruism as one thing,"要把利他与利己结合为一体，而不是对立矛盾。Take self-regard and altruism as one thing, not a paradox.",龙泉寺,龙泉微开示,,3/2/2017,学诚法师,,,
把某人/某物冒充为，假称某人/某物是,pass..off,"A small handful of so-called gifted people might have the courage or the skill to go beyond convention, and as long as their view isn't too outrageous, they might be able to pass themselves off as artists such as Salvador Dali.有少数所谓的“天才”可能有勇气或技艺来超越习俗，而只要他们的观点不是太过分，还可能用艺术家之名得到认同。",读书会,正见,,Chapter 3 P59,,,,
百千万劫难遭遇,,Is difficult to encounter in hundreds of millions of aeons,经论,金刚经,,英语佛教微信公众号,,,,
败笔,flaw,"逆境中坚持善良，不仅不是败笔，反而是庄严生命的宝石。Sticking to being kind in adversity is not a flaw, but a gem that dignifies your life.",龙泉寺,龙泉微开示,,2/26/2017,学诚法师,,,
拜佛、诵经,"Buddha worshipping, sutra chanting","At these times, we will feel dispirited whatever we do, be it Buddha worshipping, sutra chanting or laboring.没有精神的时候，我们拜佛、诵经、持戒、劳动等等，都会觉得了无动力。",龙泉寺,LQI20170701,,同行善友的重要 | The Importance of Darma Friends,学诚法师,,,
拜火教徒,Zoroastrian,"其中有拜火教的婆罗门姓迦叶的三兄弟，都改变了原来的信仰，率领他们的弟子一千多人归依了佛教。Among them were three brothers, Brahmins, by the name of Kassapa. They had been Zoroastrians, but were now converted and brought along with them more than one thousand of their followers to be converted to Buddhism.",微信群,佛教常识问答,,第一章第21问,作者：赵朴初,,,
般若,Prajna,Ven. Master Xuecheng has studied the Middle Way and Consciousness-Only for years and has acquired a profound understanding of Prajna. 学诚法师研究中观、唯识多年，对般若的内涵体会很深。,龙泉寺,LQI20170328,,20170328 达实性,学诚法师,,,
般若波罗密,prajna paramita,"There was the sound of dana paramita, the sound of shila paramita, the sound of kshanti paramita, the sound of virya paramita, the sound of dhyana paramita, and the sound of prajna paramita.所谓檀波罗蜜音、尸波罗蜜音、羼提波罗密音、毗离耶波罗蜜音、禅波罗蜜音、般若波罗密音",经论,《地藏菩萨本愿经》,,第一品,万佛城,,,
般若波罗蜜多心经,Prajnaparamita Heart Sutra,The full name of the Heart Sutra is Prajnaparamita Heart Sutra. 《心经》的全称为《般若波罗蜜多心经》。,菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P3,,,
般若智慧,wisdom,"般若智慧就像金刚一样，能够断我们的业，能够断我们的烦恼。Like a diamond, wisdom can cut off our karma and afflictions.",龙泉寺,龙泉微开示,,5/8/2017,学诚法师,,,
包容,accommodating,"If we have aroused our loving-kindness and compassion, naturally we can live in peace with others and be more accommodating.如果我们有了慈悲心之后，自然而然我们同许许多多的人都能够相安无事，都能够互相包容",龙泉寺,LQI20170808,,日常善行就是慈悲心吗? | Are Our Daily Acts of Kindness Compassion?,学诚法师,,,
包容,inclusive,"包容，在容纳别人的同时，也给自己留下自由的心灵空间。  Being inclusive, we leave ourselves free mind space while accepting others. ​​​​",菩提书院,导师微博,,10/7/2017,,,,
包容,tolerate,真正的强者是能够承担责任、包容过失的人。A truly strong person is one who is able to shoulder responsibilities and tolerate the faults of others.,龙泉寺,龙泉微开示,,9/30/2017,学诚法师,,,
保持着正念,maintain mindfulness,How could I manage to maintain mindfulness when facing death？怎么样保持着正念,各种开示,慧日佛教英语,,对善知识的信可以像金刚钻一样，钻破你种种业的障碍,传喜法师,,,
悲欢离合,"sorrows, joys, partings and meetings","人生无常，悲欢离合如一场戏。Life is impermanent. The sorrows, joys, partings and meetings play out in life just like a drama.",龙泉寺,龙泉微开示,,6/3/2017,学诚法师,,,
悲天悯人的胸怀,compassionate breadth of vision of Bodhisattvas.,"Often we are differentiating and conditional. In that case, what we show is not genuine loving-kindness and compassion, a spontaneous action with compassionate breadth of vision of Bodhisattvas.都是有分别心的，也就是都是有条件的。那么有条件、有分别心就不是真正的慈悲心。就不是真正一种任运了，不是真正的一种悲天悯人的菩萨的胸怀。",龙泉寺,LQI20170808,,日常善行就是慈悲心吗? | Are Our Daily Acts of Kindness Compassion?,学诚法师,,,
悲心,great compassion,"悉达多不因为孩子们的迷惑而自觉骄慢或高人一等，反而看见这个轮转之中，没有恶、没有善、没有过失，因此也没有责怪，这使得他的解脱，带有极大的悲心。But like a kind parent, instead of becoming arrogant or patronizing at their fascination, he saw that within this cycle there is no bad and no good; there is no fault, so there is no blame; and that freed him to feel only great compassion.",读书会,正见,,Chapter 2 P,,,,
被放逐了,be sent into exile,"Thus, Visvantara, Madri, and the two children were sent into exile.卫尸朋他罗、嘛达利、和他们的两个子女，便这样被放逐了。",读书会,故道白云,,,P580,?,,
被勾起,be seized,he was seized with a longing to see his family.他思乡的情怀被勾起来了。,读书会,故道白云,,第五十章,P487,,,
本具存在,inherent existence,"By conquering Mara and his army, Siddhartha realized the emptiness of inherent existence.悉达多征服了魔罗和他的魔军，证悟了本具存在的空性。",读书会,正见,,Chapter 3 P57,,,,
本具的慧根,profound natural insight,her profound natural insight was somewhat marred by her arrogance她本具的的慧根被她的傲慢所蒙蔽。,读书会,故道白云,,第五十五章,P544,,,
本来无一物,,Originally there is not a single thing,各种开示,慧日佛教英语,,六祖大师偈子,传喜法师,,,
本末倒置,take the branch for the root,"However, too many people are unaware of their inner treasures and put all their time and effort into the pursuit for material wealth, like taking the branch for the root. 然而有不少人忘记了向内心开发宝藏，向精神领域去追求财富，反而把所有的时间和精力转化成为对外在物质财富的追求，本末倒置。",龙泉寺,LQI20170405,,20170405 逆顺达观，解脱自在,学诚法师,,,
本体,nature,"Mindful awareness blazed in him like a bright sun, and he used that sun of awareness to illuminate the nature of all these negative mental sates.他细心专注的察觉力像烈日般燃烧着，而他就用此觉察之光去照亮所有负面精神状态的本体。",读书会,故道白云,,,P171,?,,
比…多/长,outweight and outlast,"Suffering and happiness are mixed, but suffering always outweighs and outlasts happiness.快乐当中又夹杂着痛苦，苦乐交参，苦多乐少，痛苦永远比快乐要多，痛苦永远比快乐的时间要长，快乐永远比痛苦要短暂，快乐永远比痛苦要少。",龙泉寺,LQI20170731,,佛法与生命教育 | Buddhism and Life Education,学诚法师,,,
比…更精明，智胜（同义词）outwit,outsmart,Yet toady we either deify Buddha or try to outsmart Buddha with our advanced technology.但是在今天，我们不是将佛陀奉为神明，就是想用科技证明自己比佛陀更高明。,读书会,正见,,Chapter 1 P19,,,,
比较,comparison,"As the society will always weed though the old to bring forth the new, those people living in the comparison with others will never be satisfied.社会总是在推陈出新， 处于比较中的人，难有满足之时。",菩提书院,心经的人生智慧,,The Wisdom of Life Within the Heart Sutra,P6,,,
比丘,bhikkhu,"Under the shadows of the green bamboo, the young bhikkhu, Svasti, sat crossing the legged, concentrating on his breath.翠竹影下， 年轻的比丘傅悉底结跏而坐，全神专注其呼吸。",读书会,故道白云,,,P6,?,,
比丘,monk,她们告诉他，在人间有一名叫难陀者，即将出家成为比丘。On Earthn there is a man named Nanda who is soon going to become a monk.,读书会,正见,,Chapter 4,,,,
比丘的戒律,the precepts of a bhikkhu,"After this basic instruction, Sariputta invited Svasti into his hut and explained the precepts of a bhikkhu.经过这一番基本指引后，缚悉底被舍利弗邀请到他的房子里，讲解有关比丘戒条。",读书会,故道白云,,,P19,?,,
比丘戒,ordained,He had been ordained three days.他受比丘戒已有3日,读书会,故道白云,,,P6,?,,
比丘尼,bhikkhunis,She had just traveled from the north to visit the Buddha and to consult eith him concerning precepts for the bhikkhunis她刚从北方到来，准备跟佛陀商讨有关比丘尼的戒律,读书会,故道白云,,,P164,?,,
彼困千万分，便足成佛道，欲者较菩萨，苦多无菩提。,,"With even a billionth part of that diligence, there can be Buddhahood.Sensualists have suffering greater than the suffering of the Path, but they have no Awakening.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
彼利极微薄，虽畜不难得，为彼勤苦众，竟毁暇满身。,,"For the sake of that bit of enjoyment, which is easily obtainable even for an animal, an ill-fated one has destroyed this leisure and endowment, which is very difficult to find.",经论,《入行论》,,静虑品,菩提如意宝珠,,,
毕钵罗树,ficus religiosa tree,"他在附近的一棵毕钵罗树下找到一块平坦的石头，铺上吉祥草当坐垫。He found a place to sit on the flat stones under a nearby ficus religiosa tree, using the kusha grass as a mat.",读书会,正见,,Chapter 2 P,,,,
闭关禅修,meditation retreat,I want to take a meditation retreat.师父，我想去闭关禅修,龙泉寺,LQI20170916,,LQI20170916贤二的闭关禅修,学诚法师,,,
变幻无常,fickleness and impermanence,"起起伏伏变幻无常，本就是人生常事。Ups and downs, fickleness and impermanence— that’s life.",龙泉寺,龙泉微开示,,2/3/2017,学诚法师,,,
遍觉,perfect enlightenment,"等觉或遍觉（不仅自觉，即自己觉悟，而且能平等普遍地觉他，即使别人觉悟）perfect enlightenment (Samma-sambodhi, which means not only enlightening oneself but also equally and universally enlightening others)",微信群,佛教常识问答,,第一章第4问,周遍圆满之觉悟也。止观五曰：‘乃至成佛，正觉大觉遍觉。皆是观慧异名,,,
遍净天,the Heaven of Universal Purity,"After he uttered indescribably many sounds, countless millions of gods, dragons, ghosts, and spirits from the Saha and other worlds also gathered in the Palace of the Trayastrimsha Heaven. They came from the Heaven of the Four Kings, the Trayastrimsha Heaven, the Suyama Heaven, the Tushita Heaven, the Blissful Transformations Heaven, and the Heaven of Comfort Gained Through Others' Transformations.They came from the Heaven of the Multitudes of Brahma, the Heaven of the Ministers of Brahma, the Heaven of the Great Brahma Lord, the Heaven of Lesser Light, the Heaven of Limitless Light, the Heaven of Light Sound, the Heaven of Lesser Purity, the Heaven of Limitless Purity, and the Heaven of Universal Purity.They came from the Birth of Blessings Heaven, the Love of Blessings Heaven, the Abundant Fruit Heaven, the No Thought Heaven, the No Affliction Heaven, the No Heat Heaven, the Good Views Heaven, the Good Manifestation Heaven, the Ultimate Form Heaven, the Maheshvara Heaven, and so forth, to the Heaven of the Station of Neither Thought Nor Non-Thought. All those groups of gods, dragons, ghosts and spirits came and gathered together.　　出如是等不可说不可说音已，娑婆世界，及他方国土，有无量亿天龙鬼神，亦集到忉利天宫，所谓四天王、忉利天、须焰摩天、兜率陀天、化乐天、他化自在天、梵众天、梵辅天、大梵天、少光天、无量光天、光音天、少净天、无量净天、遍净天、福生天、福爱天、广果天、无想天、无烦天、无热天、善见天、善现天、色究竟天、摩酰首罗天、乃至非想非非想处天，一切天众、龙众、鬼神等众，悉来集会。",经论,《地藏菩萨本愿经》,,第一品,万佛城,,,
遍在的觉性,pervasive awareness,"By knowing that something is lying in wait for you just around the bend, by accepting that countless potentialities exist from this moment forward, you acquire the skill of pervasive awareness and foresight like that of a gifted general, not paranoid but prepared.知道下个转弯处就有某件事等着你，接受从此刻起有无限的可能存在，你将学会运用遍在的觉性和预见的能力，如同英明的将军一般，胸有成竹，毫不惊慌。",读书会,正见,,Chapter 1 P27,,,,
秉前人,owe ... to our ancestors,"在时间上，我们秉前人之恩而生、而活，也是未来的创造者；在空间上，我们的生活与无数人都有着千丝万缕的关系。Temporally,we owe our life and living to our ancestors and pave the way for our future generations;spatially,our life is connected with numerous people in numerous ways.",龙泉寺,龙泉微开示,,10/9/2017,学诚法师,,,
波斯匿王,King Bimbisara,"Just a thirty minutes' walk north of the capital city of Rajagaha, the Bamboo Forest Monastery had been given to Buddha and his community by King Bimbisara seven years earlier.七年前， 波斯匿王将竹林精舍赠给了佛陀和他的僧团，从王舍城向北三十余里就可到达。",读书会,故道白云,,,P6,?,,
钵盂,alms bowls,"They surely have no idea what to do with the robe — they will not know how to put it on, and they will not know how to hold the alms bowls.你拿一件袈裟给他搭，他肯定就不知道怎么办，肯定搭不起来、穿不起来。钵盂怎么拿，他也拿不起来。",龙泉寺,LQI20170816,,修行是改变我们日常生活的习惯 | Practicing to Change Our Daily Habits,学诚法师,,,
博大精深,profound,，忽视其穿越两千年的深厚历史底蕴和博大精深的理论实践体系。 they ignore its deep historical roots and profound systems of theory and practice.,微信群,各种微信,,《中国佛教现状》,学诚法师,,,
不卑不亢地,without being too submissive or too arrogant,"既要不卑不亢地保护自己，又要调整自己的心念，不起恨意。You need to protect yourself without being too submissive or too arrogant. Meanwhile, adjust your mind and do not let the seeds of hatred sprout.",龙泉寺,龙泉微开示,,10/5/2017,学诚法师,,,
不二过,not repeating the same mistakes,"获得成就的密钥：常反省，不二过，不迁怒，代人着想。The secret key to success in practice lies in frequently reflecting on ourselves, not repeating the same mistakes, refraining from transferring our own anger on others, and considering other people's needs.",龙泉寺,龙泉微开示,,8/22/2017,学诚法师,,,
不归路,the road to nowhere,喜欢出风头的人，犹如走在一条不归路上。Hogging the limelight will put one on the road to nowhere.,龙泉寺,龙泉微开示,,5/24/2017,学诚法师,,,
不合逻辑，出人意料等,defy,"Nearly all of these myriad components are beyond our control, and for that reason they defy our expectations.这些无数的成分几乎都不是我们所能控制的，所以会让我们的期待落空。",读书会,正见,,Chapter 1 P24,,,,
不怀好意,dishonorable,"She sensed his dishonorable intentions, and began to observe her breath in order to remain calm and clear headed.她感觉到这男子不怀好意，于是便开始观察呼吸以能保持镇定的清醒。",读书会,故道白云,,第五十九章,P587,,,
不禁流泪,be moved to tears,The king was moved to tears.大王不禁流泪。,读书会,故道白云,,,P583,?,,
不可动摇的信心,unswayed fainth in,"Only by practicing scriptures as living instructions can we possibly realize their true meaning as the Buddha’s original intention, which will establish our unswayed faith in the teachings and the ultimate goal of enlightenment.学佛法就要让圣言活起来现为教授，要想办法真正体会佛法的内涵。真正体会到了佛法的境界，对法才会有感觉，才会生起不可动摇的信心。",龙泉寺,LQI20170713,,听法久了疲了怎么办？| Gradually Lose Interest and Motivation in Listening?,学诚法师,,,
不可思量,inconceivable and immeasurable,his merit will be inconceivable and immeasurable其福德不可思量,经论,金刚经,,英语佛教微信公众号,,,,
不可思议,unfathomable,All the following merits and achievements evolve from the initial aspiration. The merits of aspiration are unfathomable. 我们未来一切的功德、成就都是由初发心而来。发心的功德不可思议,龙泉寺,LQI20170929,,LQI20170929不忘初心，方得始终 | The Original Aspiration Will Carry You Through,学诚法师,,,
不可想象的，难以置信的,inconceivable,"它几乎是难以想象的复杂、广大而且深远。It is almost inconceivably complex, vast and deep.",读书会,正见,,Introduction P2,,,,
不来,no-coming,"Becase Anagamin means ""no-coming""",经论,金刚经,,英语佛教微信公众号,,,,
