中文,英文,摘自,Comments
获得空性智慧,acquire the wisdom of emptiness,《心经》的禅观,
对xx的空性禅修,a meditation on the emptiness of,《心经》的禅观,
空性观修,perform meditations on emptiness,向观音菩萨学修行,
完成空性禅修,engage in meditation on emptiness,《心经》的禅观,
缘起/缘起法,"dependent origination/dependent arising/
the Law of Dependent Origination","《心经》的禅观/禅意设计“十二字箴言”
/生命的痛苦和解脱",
缘起的,dependently-originated/conditioned,人工智能时代/当代宗教信仰问题的思考,
在缘起的当下,at the moment of dependent origination,《心经》的禅观,
在缘起层面,on the level of dependent origination,《心经》的禅观,
缘起的现象,phenomena arising from dependent origination,《心经》的禅观,
缘起的生命现象,the dependent co-arising of life,当代宗教信仰问题的思考,
因缘因果,"the principle of cause and effect/law of cause and effect/
the principles of dependent origination and causality/causality/
the law of causality",《心经》的禅观/心灵创造幸福,
因缘关系的假相,a provisional appearance based on interdependent origination,《心经》的禅观,
"缘起假相/
条件关系的假相",false appearances arising from conditions,《心经》的禅观,
固定不变的实体,"permanent, unchanging entity",《心经》的禅观,
有的现象,the phenomena of existence,《心经》的禅观,
自性的,inherent,《心经》的禅观,
菩提自性,the nature of Bodhi,《心经》的禅观,
无自性,the lack of inherent nature/lack inherent existence/empty of intrinsic existence/have no self-nature,《心经》的禅观/人工智能时代/生命的痛苦和解脱,
xx的无自性,the lack of inherent nature of xx,《心经》的禅观,
没有自性,lack inherent nature,《心经》的禅观,
有无自性的知识,understand the principle of no inherent nature,《心经》的禅观,
无自性空,the ultimate emptiness of inherent existence,《心经》的禅观,
无自性空的,with its essence lacking a self-nature,当代宗教信仰问题的思考,
是无自性的存在,be devoid of inherent existence,《心经》的禅观,
无自性的观修,practice this insight of non-inherent existence,《心经》的禅观,
自性见,"inherent views/a view of inherent existence
view of inherent nature","《心经》的禅观
《六祖坛经》与心理治疗",
产生自性见,"project the inherent views onto/attribute inherent nature to/
form inherent views",《心经》的禅观,
无住生心,"give rise to a mind without dwelling anywhere/
achieve a mindset that does not dwell on anything/
give rise to a mind that does not abide in anything/
cultivate a mind that clings to nothing.","《心经》的禅观
人工智能时代
生命的痛苦和解脱",
无住,"no dwelling/clinging to nothing
non-abiding
non-abidance","《心经》的禅观
生命的痛苦及其解脱
开启正念与慈悲大爱",
境界,state/the spiritual attainment,《心经》的禅观/禅意设计“十二字箴言”,
一种境界,a state of being,《心经》的禅观,
令人向往的境界,a state of aspiration,《心经》的禅观,
以见导行,guide action with insight,《心经》的禅观,
指导言行,guide one’s words and actions,《心经》的禅观,
待人处事,interact with others,《心经》的禅观,
积集资粮,accumulate merits,《心经》的禅观,
智慧,wisdom,《心经》的禅观,
同情心,empathy,人工智能时代,
慈悲,compassion,《心经》的禅观,
慈悲心,"a compassionate mind
compassion
the mind of loving-kindness and compassion","向观音菩萨学修行
心灵创造幸福
以茶入禅",
感恩心,gratitude,心灵创造幸福,
恭敬心,respect,心灵创造幸福,
悲愿,vow of compassion,向观音菩萨学修行,
悲智双运,"practice both compassion and wisdom
integrate compassion with wisdom","《心经》的禅观
当代宗教信仰问题的思考",
大慈大悲,great loving-kindness and compassion/great compassion,向观音菩萨学修行,
慈悲大爱,"compassion and love
loving-kindness and all-encompassing love
universal compassion","心灵创造幸福
人工智能时代
开启正念与慈悲大爱",
生起同体大悲之心,foster a compassion for xx as though xx were extensions of our own bodies,向观音菩萨学修行,
无缘大慈,great unconditional loving-kindness/great loving-kindness without affinity,向观音菩萨学修行,
同体大悲,great compassion of sameness/unconditional compassion with same unity,向观音菩萨学修行,
共同体,unity,向观音菩萨学修行,
证悟和六道众生的共同体,attain the state of unity with all sentient beings across the six realms,向观音菩萨学修行,
平等无别地,"equally, without distinction",向观音菩萨学修行,
悲悯的,compassionate,向观音菩萨学修行,
大悲心,great compassion,向观音菩萨学修行,
念大悲心,invoke great compassion,向观音菩萨学修行,
长养慈悲,cultivate one's loving nature,心灵创造幸福,
梵语,Sanskrit,《心经》的禅观,
菩提树,the Bodhi tree,《心经》的禅观,
六祖惠能,the Sixth Patriarch Huineng of Chan Buddhism,《心经》的禅观,
圆满的,complete/complete and perfect,《心经》的禅观/向观音菩萨学修行,
成佛,attain/achieve Buddhahood,《心经》的禅观,
成佛潜质,the potential to become a buddha,《心经》的禅观,
三毒,the Three Poisons,《心经》的禅观,
贪,greed,《心经》的禅观,
嗔,hatred/anger/aversion(更温和),《心经》的禅观/八步骤三种禅修,
痴,ignorance,《心经》的禅观,
生命永恒的困惑,the eternal perplexities of life,《心经》的禅观,
烦恼,afflictions,《心经》的禅观,
惑,delusion,《心经》的禅观,
业,karma,《心经》的禅观,
不善业/恶业/恶的行为,unwholesome actions/negative karma,《心经》的禅观/生命的痛苦及其解脱,
杀,killing,《心经》的禅观,
盗,stealing,《心经》的禅观,
淫,sexual misconduct,《心经》的禅观,
妄,lying,《心经》的禅观,
虚空,void,《心经》的禅观,
名号,sacred name,向观音菩萨学修行,
（佛陀的)十大名号,ten great epithets,《心经》的禅观,
正遍知（名号）,"Samyaksaṃbuddha/the Perfectly Enlightened One
Samyak-sambuddha/Perfect and Complete Knowing","《心经》的禅观
以茶入禅",
正遍知（能力）,omniscience/correct peerless enlightenment,《心经》的禅观,
善逝,Well Gone (Sugata),心灵创造幸福,
祖师,"the ancestral masters
ancient masters
Patriarch","《心经》的禅观
生命的痛苦及其解脱
《六祖坛经》与心理治疗",
禅宗祖师,Chan master,《心经》的禅观,
禅宗修行,Chan (Zen) meditation,向观音菩萨学修行,
念头/思想/心念,thought,《心经》的禅观,
跳出念头,step beyond thoughts,《心经》的禅观,
妄念,deluded thoughts/distracting thoughts,《心经》的禅观,
心,the true mind/the mind,《心经》的禅观,
贪著/粘著/执著,cling/cling to/attachment,《心经》的禅观,
粘性,stickiness,《心经》的禅观,
显现,"manifest
reveal","《心经》的禅观
以茶入禅",
出生万物,give rise to all phenomena,《心经》的禅观,
含藏万物,encompass all things,《心经》的禅观,
不能自主,unable to move freely,《心经》的禅观,
自在自主,free and autonomous,《心经》的禅观,
如来如去,come and go as one pleases,《心经》的禅观,
二元世界,"the dualistic world
a world of duality","《心经》的禅观
开启正念与慈悲大爱",
分别,distinction,《心经》的禅观,
虚妄分别,fantasies and distinctions,向观音菩萨学修行,
二元对立,"a dualistic opposition, dualistic opposites, duality
in binary terms, binary opposition","《心经》的禅观
人工智能时代
生命的痛苦和解脱",
超越二元对立,transcend duality,《心经》的禅观,
开宗明义,clarify from the outset,《心经》的禅观,
宗旨,essence,《心经》的禅观,
经题,title,《心经》的禅观,
常的,permanent,《心经》的禅观,
常/永恒/恒常,permanence,《心经》的禅观,
无常的,impermanent,《心经》的禅观,
无常,impermanence,《心经》的禅观,
诸法唯识,consciousness-only,向观音菩萨学修行,
缘起性空,"dependent-origination, empty of intrinsic nature/the Dependently Originated and Empty Nature",向观音菩萨学修行/生命的痛苦和解脱,
串习,"habits/a habitual state/
ingrained habits/habitual patterns",《心经》的禅观/正念禅修的要领,
善巧,skillful means,《心经》的禅观,
善巧地,sensibly,禅意设计“十二字箴言”,
"选择一个
所缘对象",choose an object of focus,《心经》的禅观,
纷飞的念头,the flurry of thoughts,《心经》的禅观,
朗照无住,"reflect everything clearly and completely without dwelling
illuminate everything without dwelling on anything
illuminate without attachment
illumination","《心经》的禅观
《心经》的禅观
向观音菩萨学修行
正念禅修的要领",
降伏,subdue,《心经》的禅观,
生（动词）,arise,《心经》的禅观,
灭（动词）,cease,《心经》的禅观,
为  所动,be swayed by,《心经》的禅观,
身不由己,feel out of control,《心经》的禅观,
放下,let go,《心经》的禅观,
安住于,abide in/dwell in,《心经》的禅观,
现象,phenomena,《心经》的禅观,
灾难,calamities,《心经》的禅观,
实实在在的,real and tangible/concrete,《心经》的禅观,
一体的,inseparable,《心经》的禅观,
永恒的期待,eternal expectations,《心经》的禅观,
认识,perception/comprehension/cognition,《心经》的禅观,
依托点,underlying basis,《心经》的禅观,
产生基础,source,《心经》的禅观,
设定,assumption,《心经》的禅观,
产生自我的设定和执著,form an assumption and attachment of self,《心经》的禅观,
有就是有,existence means presence,《心经》的禅观,
空就是没有,emptiness means absence,《心经》的禅观,
唯识宗,"the Consciousness-only sect of Buddhism/
the School of Consciousness-Only/
Yogacara",《心经》的禅观,
遍计所执,attachment to all-pervasive discrimination/ubiquitous attachments/parikalpita/attachment arising out of pervasive discrimination,"《心经》的禅观/向观音菩萨学修行/
生命的痛苦和解脱",
进入遍计所执,enter into the state of being attached to all-pervasive discrimination,《心经》的禅观,
三分法,a threefold classification,《心经》的禅观,
三性,the Three Natures,《心经》的禅观,
遍计所执性,"the Imaginary Nature (the nature of existence produced 
from attachment to all-pervasive discrimination)",《心经》的禅观,
依他起性,"the Dependent Nature (the nature of existence as arising 
from dependence on other things)",《心经》的禅观,
圆成实性,the Absolute Nature (the perfectly accomplished nature of reality),《心经》的禅观,
典故,anecdote,《心经》的禅观,
如实的,accurate/truthful,《心经》的禅观/心灵创造幸福,
如实认识,true understanding/seeing reality as it is,《心经》的禅观/心灵创造幸福,
色,form,《心经》的禅观,
色法,form dharmas,《心经》的禅观,
物质,materiality,《心经》的禅观,
物质现象,material phenomena,《心经》的禅观,
显色,visible appearance,《心经》的禅观,
形色,form,《心经》的禅观,
空、无、不,"“emptiness,” “no,” and “not.”",《心经》的禅观,
认识事物,perceive things,《心经》的禅观,
真相,the true nature,《心经》的禅观,
实相,the ultimate reality,《心经》的禅观,
在实相上,in (the) ultimate reality,《心经》的禅观,
看到实相,see the true nature,《心经》的禅观,
般若中观体系,the Middle Way system,《心经》的禅观,
世俗谛,the conventional truth (samvrti-satya),《心经》的禅观,
胜义谛/真谛,the ultimate truth (paramartha-satya),《心经》的禅观,
依他起的现象,phenomena arising from conditions,《心经》的禅观,
在认识现象的当下,at the moment of perceiving phenomena,《心经》的禅观,
不异的,not separate,《心经》的禅观,
一体的两面,two sides of the same coin,《心经》的禅观,
三段式,a tripartite formula,《心经》的禅观,
不依赖条件的,self-sustaining,《心经》的禅观,
不常不断,neither permanent nor annihilated,《心经》的禅观,
不生不灭,"neither arising nor ceasing
not arising nor ceasing",《心经》的禅观,
不一不异,neither identical nor different,《心经》的禅观,
不来不去,neither coming nor going,《心经》的禅观,
不垢不净,not defiled nor pure/neither taint nor purify,《心经》的禅观/茶与禅的修行,
不增不减,not increasing nor decreasing/neither increase nor decrease,《心经》的禅观/茶与禅的修行,
诸法,all dharmas,《心经》的禅观,
一切法,all things,《心经》的禅观,
自生,arise on one's own,《心经》的禅观,
自生的,self-arising,《心经》的禅观,
他生,arise from an “other”,《心经》的禅观,
他生的,other-arising,《心经》的禅观,
共生,arise through a combination of self and other,《心经》的禅观,
共生的,co-arising,《心经》的禅观,
龙树菩萨,Bodhisattva Nagarjuna,《心经》的禅观,
提婆菩萨,Bodhisattva Deva,《心经》的禅观,
生活现象,phenomena in life,《心经》的禅观,
法界,"the Dharmadhatu (realm of reality)
Dharma Realm","《心经》的禅观
向观音菩萨学修行",
在十方法界,across the ten Dharma Realms,向观音菩萨学修行,
尽虚空遍法界,fill the entire space and pervade all Dharma Realms,禅意设计“十二字箴言”,
支点,fulcrum/support,《心经》的禅观,
菩萨道,the Bodhisattva Path,《心经》的禅观,
行菩萨道,walk the bodhisattva path,向观音菩萨学修行,
解脱道,"the path of liberation
the liberation journey","《心经》的禅观
开启正念与慈悲大爱",
声闻,"the Sravakayana
Sravakas","《心经》的禅观
从佛法视角谈“断舍离”",
声闻的境界,the realm of Sravakayana,《心经》的禅观,
声闻解脱道的修行,the practice of the Sravakayana following the path of liberation,《心经》的禅观,
三十七道品,the Thirty-Seven Aids to Enlightenment/the Thirty-Seven Factors of Enlightenment,《心经》的禅观/生命的痛苦及其解脱,
四念处,"the Four Applications of Mindfulness
the four foundations of mindfulness","《心经》的禅观
开启正念与慈悲大爱",
观身不净,the body is impure/contemplate the body as impure,《心经》的禅观/生命的痛苦及其解脱,
观受是苦,the feeling is suffering,《心经》的禅观,
观心无常,the mind is impermanent,《心经》的禅观,
观法无我,there is no self in all phenomena,《心经》的禅观,
了不可得的,unattainable,《心经》的禅观,
精进,apply diligence,《心经》的禅观,
因缘,"the causes and conditions
karmic condition","《心经》的禅观
《六祖坛经》与心理治疗",
能,subjects,《心经》的禅观,
所,objects,《心经》的禅观,
能认识,the subjects of cognition,《心经》的禅观,
所认识,the objects of cognition,《心经》的禅观,
如梦如幻,"like/as dreams and illusions
be like a dream, an illusion","《心经》的禅观
茶与禅的修行",
道场,a place of practice,《心经》的禅观,
厌离,repulse,《心经》的禅观,
没有能也没有所,devoid of both subject and object,《心经》的禅观,
身心疲惫,physically and mentally exhausted,《心经》的禅观,
胡思乱想,be plagued by thoughts,《心经》的禅观,
患得患失,swing/fluctuate between hope and fear,《心经》的禅观,
挂碍,obstacle/burden/attachment/cling,《心经》的禅观,
无所得,non-attainment,《心经》的禅观,
颠倒梦想,delusional dream,《心经》的禅观,
空灵,etherealnes,《心经》的禅观,
诸佛,all buddhas,《心经》的禅观,
